"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Justin Jefferson","MIN","6","WR2","2.5"
"3","Saquon Barkley","PHI","9","RB1","3.0"
"4","Bijan Robinson","ATL","5","RB2","3.5"
"5","CeeDee Lamb","DAL","10","WR3","5.0"
"6","Jahmyr Gibbs","DET","8","RB3","6.0"
"7","Puka Nacua","LAR","8","WR4","7.5"
"8","Malik Nabers","NYG","14","WR5","8.0"
"9","Christian McCaffrey","SF","14","RB4","8.5"
"10","Nico Collins","HOU","6","WR6","11.0"
"11","Ashton Jeanty","LV","8","RB5","11.0"
"12","Amon-Ra St. Brown","DET","8","WR7","11.0"
"13","Brian Thomas Jr.","JAC","8","WR8","13.0"
"14","Derrick Henry","BAL","7","RB6","14.5"
"15","Drake London","ATL","5","WR9","14.5"
"16","A.J. Brown","PHI","9","WR10","16.5"
"17","De'Von Achane","MIA","12","RB7","16.5"
"18","Brock Bowers","LV","8","TE1","18.5"
"19","Ladd McConkey","LAC","12","WR11","18.5"
"20","Jonathan Taylor","IND","11","RB8","20.5"
"21","Rashee Rice","KC","10","WR12","21.0"
"22","Bucky Irving","TB","9","RB9","22.5"
"23","Tee Higgins","CIN","10","WR13","23.0"
"24","Garrett Wilson","NYJ","9","WR14","24.0"
"25","Trey McBride","ARI","8","TE2","25.5"
"26","Josh Jacobs","GB","5","RB10","26.0"
"27","Marvin Harrison Jr.","ARI","8","WR15","27.0"
"28","Davante Adams","LAR","8","WR16","28.5"
"29","Chase Brown","CIN","10","RB11","28.5"
"30","Tyreek Hill","MIA","12","WR17","30.0"
"31","Jaxon Smith-Njigba","SEA","8","WR18","30.5"
"32","Terry McLaurin","WAS","12","WR19","31.5"
"33","Breece Hall","NYJ","9","RB12","34.0"
"34","Kyren Williams","LAR","8","RB13","34.0"
"35","Josh Allen","BUF","7","QB1","35.0"
"36","Lamar Jackson","BAL","7","QB2","35.5"
"37","Mike Evans","TB","9","WR20","36.0"
"38","Tetairoa McMillan","CAR","14","WR21","38.5"
"39","Xavier Worthy","KC","10","WR22","39.5"
"40","Jayden Daniels","WAS","12","QB3","40.0"
"41","DJ Moore","CHI","5","WR23","40.5"
"42","Jameson Williams","DET","8","WR24","43.0"
"43","James Cook","BUF","7","RB14","43.5"
"44","DK Metcalf","PIT","5","WR25","44.0"
"45","George Kittle","SF","14","TE3","44.5"
"46","DeVonta Smith","PHI","9","WR26","46.0"
"47","Omarion Hampton","LAC","12","RB15","47.5"
"48","Jalen Hurts","PHI","9","QB4","48.0"
"49","Courtland Sutton","DEN","12","WR27","48.5"
"50","Travis Hunter","JAC","8","WR28","49.5"
"51","George Pickens","DAL","10","WR29","51.0"
"52","Zay Flowers","BAL","7","WR30","52.5"
"53","Kenneth Walker III","SEA","8","RB16","53.5"
"54","Chuba Hubbard","CAR","14","RB17","53.5"
"55","Jaylen Waddle","MIA","12","WR31","55.5"
"56","Calvin Ridley","TEN","10","WR32","55.5"
